,time[ms],time[ms],time[ms],time[ms],time[ms],time[ms],time[ms],time[ms]
,count,mean,std,min,25%,50%,75%,max
name,,,,,,,,
helion,100.0,2.385677464008331,0.014349080447412864,2.3705599308013916,2.3808000087738037,2.3838720321655273,2.387968063354492,2.5169920921325684
