,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,profile
0,20260216-174456,openai-chat,openai-chat,,Qwen/Qwen3-32B,Qwen/Qwen3-32B,512,inf,1.0,256,12.838967306073755,512,0,54258,5120,39.878596758929916,,398.78596758929916,4624.826793655743,2617.0,512,5341.816785431547,5003.257545875385,3252.1208745694044,9685.044833929278,112.37383553119193,82.16109064718088,97.34721358852305,280.0410424731672,104.46042945497273,21.48438384756446,329.58449819921356,1972.6510490477085,6353.181305212274,6361.901155440137,3505.356217668277,9902.61407586746,0,warmup,
1,20260216-174521,openai-chat,openai-chat,,Qwen/Qwen3-32B,Qwen/Qwen3-32B,512,inf,1.0,256,5.632842338178307,512,0,54258,5120,90.89549631626716,,908.9549631626717,10541.392148959592,2277.0,511,1448.3253398639135,1457.919733133167,549.9119993839493,2314.243990369141,99.93651315512074,113.49193544851408,46.748351812209926,162.85862119040556,91.44126635011156,24.620618438348174,194.7039023505672,1230.5051385657862,2347.75395826,2536.3914461340755,455.2055529645512,2928.4285594522953,0,profiled,True
