,time[ms],time[ms],time[ms],time[ms],time[ms],time[ms],time[ms],time[ms]
,count,mean,std,min,25%,50%,75%,max
name,,,,,,,,
helion,100.0,2.319497904777527,0.03594547888503379,2.312191963195801,2.314239978790283,2.3152639865875244,2.3162879943847656,2.6675519943237305
